Dates ,9:00,10:00,11:00
6/29/2018,91.8,101,103
6/30/2018,79,78.4,78.4
7/1/2018,61,62.6,62.6
7/2/2018,104.6,116.4,117.6
7/3/2018,89.4,100.6,99.2
7/4/2018,86.4,100.2,99.8
7/5/2018,90,100.2,102.2
7/6/2018,89,103,105.8
7/7/2018,69.6,69.8,70.6
7/8/2018,63.6,63.6,65.4
7/9/2018,93.6,105.8,109.8
7/10/2018,83.2,86.2,87.4
7/11/2018,79,94.2,98.4
7/12/2018,88.4,90.4,100
7/13/2018,84.2,91,90.8
7/14/2018,71.4,72.8,73.2
7/15/2018,65.2,66.8,67.6
7/16/2018,92.6,106,113.6
7/17/2018,90,107.4,102.8
7/18/2018,86.8,94.6,96
7/19/2018,86.4,98,100.4
7/20/2018,85.4,90.4,99.2
7/21/2018,72.2,71.2,73.8
7/22/2018,65.4,64.8,65.6
7/23/2018,106.8,106.8,119.2
7/24/2018,97.2,108.2,111.8
7/25/2018,105.8,109.8,111.6
7/26/2018,103,118.2,115.8
7/27/2018,96.4,105.8,106
7/28/2018,71,68.6,67.6
7/29/2018,58.2,60,61.8
7/30/2018,89.2,98.8,100.2
7/31/2018,90,99.2,95.2
8/1/2018,110.8,118.8,114.8
8/2/2018,84.2,94,95.4
8/3/2018,85.6,95.4,96.2
8/4/2018,69.2,68.2,71.2
8/5/2018,62.4,64.2,64.6
8/6/2018,87.8,102,99.2
8/7/2018,85.2,102.4,105
8/8/2018,84.8,97.4,96
8/9/2018,83.6,97,102.6
8/10/2018,81.8,85.8,87.8
8/11/2018,68.6,68.6,68.2
8/12/2018,58.2,60.2,62
8/13/2018,87.6,98.6,93.4
8/14/2018,94.4,97.6,99.4
8/15/2018,87.4,90.2,97
8/16/2018,94,107.4,104.8
8/17/2018,89.4,99.8,96.8
8/18/2018,70,71.2,70.2
8/19/2018,58.2,57.2,57.6
8/20/2018,89,96.8,94.6
8/21/2018,88.6,97,98.4
8/22/2018,88.8,96.6,92
8/23/2018,90,92.6,91.2
8/24/2018,82.2,84.2,86.2
8/25/2018,61.8,62.4,62.6
8/26/2018,54.2,54,53.8
8/27/2018,62.4,61.6,62
8/28/2018,76.2,80.2,80
8/29/2018,78.6,83,82.6
8/30/2018,75.6,78.2,77.4
8/31/2018,73.6,75,77.4
9/1/2018,62,63.2,65.2
9/2/2018,53.4,55,54.4
9/3/2018,86.2,89.6,91.6
9/4/2018,79.2,82.8,86.8
9/5/2018,83.6,89.8,89.6
9/6/2018,87.8,92,94.2
9/7/2018,89,92.6,95.2
9/8/2018,75.2,77.8,76.2
9/9/2018,55,55.2,55
9/10/2018,87.6,88.8,93
9/11/2018,88,92.8,92.6
9/12/2018,87.2,89.6,92.8
9/13/2018,91.4,94.4,100.2
9/14/2018,93,93,92.8
9/15/2018,77,75.6,76.2
9/16/2018,56.2,57.2,58.8
9/17/2018,97.6,100.4,104
9/18/2018,102.8,106.6,107.2
9/19/2018,105,106.8,113.8
9/20/2018,98.6,107.2,110
9/21/2018,88.6,108.6,113.4
9/22/2018,76.6,76.2,77.2
9/23/2018,58.4,56.6,56.2
9/24/2018,105.4,111.2,120.2
9/25/2018,105.8,113.4,119
9/26/2018,107.2,110.2,110.6
9/27/2018,106.4,111,114.2
9/28/2018,101,106.8,105.8
9/29/2018,74.2,73.8,75
9/30/2018,54,55.8,57.2
10/1/2018,104.4,110.2,120.4
10/2/2018,104.4,110.8,110.2
10/3/2018,107.2,117.4,126
10/4/2018,108.8,115,118
10/5/2018,99.8,105,108.8
10/6/2018,72.4,75.4,76.2
10/7/2018,53,52.6,51.8
10/8/2018,106,116.6,128.4
10/9/2018,110.2,117.2,117.4
10/10/2018,121,117.6,136.8
10/11/2018,119.4,123.2,135.6
10/12/2018,105,108.2,122.4
10/13/2018,90.8,99.6,105.8
10/14/2018,56,55.8,55.8
10/15/2018,105.8,112,122.8
10/16/2018,103.6,122,134
10/17/2018,110.6,111.8,127
10/18/2018,112.2,116.2,123.8
10/19/2018,111.2,116.4,127.2
10/20/2018,81,83,85.2
10/21/2018,63.8,61.6,61.6
10/22/2018,106,106.8,118.8
10/23/2018,117.6,122.4,123.6
10/24/2018,107.2,113,112.4
10/25/2018,104.2,109.8,115.8
10/26/2018,102.2,106.8,114.8
10/27/2018,81.2,79,81.6
10/28/2018,59.2,62.8,63.8
10/29/2018,81.4,87,109.2
10/30/2018,95.6,113.6,123.6
10/31/2018,103.6,110,117.8
11/1/2018,104.4,105.4,115.2
11/2/2018,105.2,116,105.8
11/3/2018,81,81.4,84.6
11/4/2018,64.6,67.6,72.8
11/5/2018,108,113.6,116.8
11/6/2018,97,111.8,118
11/7/2018,103.4,105.8,112.8
11/8/2018,98.6,115,108
11/9/2018,116.2,127.6,112
11/10/2018,81.6,85.2,87.8
11/11/2018,55.8,60.6,57.2
11/12/2018,100.8,113.6,116.4
11/13/2018,106.2,106.2,116.4
11/14/2018,110.4,112,111.4
11/15/2018,103.4,103.4,114.2
11/16/2018,98,102.6,114.8
11/17/2018,71.6,77.4,75.2
11/18/2018,57.8,57.8,60.4
11/19/2018,110,112.2,124.4
11/20/2018,105.4,112.6,128.6
11/21/2018,117.2,128,131.6
11/22/2018,116.6,120,132
11/23/2018,110.4,112.4,119.6
11/24/2018,80,82.2,82.2
11/25/2018,60.2,61.8,61
11/26/2018,107.6,119.6,129.8
11/27/2018,110,121,134.8
11/28/2018,105.4,120.6,124.6
11/29/2018,103,103.6,107.6
11/30/2018,103.2,107,112.4
12/1/2018,79.4,83.2,85.8
12/2/2018,57.6,59.8,61.2
12/3/2018,99.4,107,117
12/4/2018,107.2,117,123.6
12/5/2018,112,111.8,117.4
12/6/2018,104.6,104.4,115.8
12/7/2018,104.2,110.4,116.4
12/8/2018,79.2,81.2,81.8
12/9/2018,60.2,59,63
12/10/2018,109.6,114.6,130.6
12/11/2018,113.6,111.4,118.4
12/12/2018,107.2,107.8,122.4
12/13/2018,114,116,125
12/14/2018,113,119.6,129.4
12/15/2018,83.4,87.2,91
12/16/2018,62.2,63.4,64.6
12/17/2018,93.8,100.4,102.8
12/18/2018,94.2,102.2,104.4
12/19/2018,96.8,95.8,103.4
12/20/2018,98.2,95.6,98.8
12/21/2018,95,92.2,96.6
12/22/2018,75.4,70,68.4
12/23/2018,59.6,55.2,54.2
12/24/2018,79.4,79.2,78.6
12/25/2018,79,78,77.2
12/26/2018,75.6,73.4,73
12/27/2018,77.6,80.4,78.4
12/28/2018,78.4,81.4,79.4
12/29/2018,70.8,70.8,70.4
12/30/2018,54,59.6,59.6
12/31/2018,81.8,77.4,77.4
1/1/2019,84.2,82.6,80.2
1/2/2019,105.4,106.4,111.6
1/3/2019,98.8,103,113.8
1/4/2019,102.2,107,108.6
1/5/2019,79.8,81.6,79.6
1/6/2019,63,62.2,62.4
1/7/2019,96.6,100,108.8
1/8/2019,104.2,106.4,105
1/9/2019,107,115,118.4
1/10/2019,109.6,119,110.2
1/11/2019,108.4,112.4,112.2
1/12/2019,84.8,86.4,87.6
1/13/2019,64.4,66.2,65.8
1/14/2019,99,108,110
1/15/2019,97,106,105.8
1/16/2019,97.4,101.8,106
1/17/2019,106.6,114.8,115
1/18/2019,111.6,115.8,116.4
1/19/2019,88.4,91.4,95.8
1/20/2019,66.4,72.6,68.4
1/21/2019,117,127.6,139
1/22/2019,128,132.2,135.8
1/23/2019,117.8,124,128.2
1/24/2019,131.6,135.2,136
1/25/2019,113,111.4,105
1/26/2019,87,91.8,91.6
1/27/2019,70,66.2,67.8
1/28/2019,118.6,125,139.2
1/29/2019,117.4,126.8,135.2
1/30/2019,111.8,124.2,125.8
1/31/2019,120.4,129.6,136
2/1/2019,111.6,116.4,111.4
2/2/2019,91.2,96,87.2
2/3/2019,73.4,72.6,71.6
2/4/2019,111.8,124.2,134.8
2/5/2019,109.6,117.8,125
2/6/2019,104.2,113,119.8
2/7/2019,117,114.6,119.2
2/8/2019,110.6,114.6,120.2
2/9/2019,88.6,94.8,96.8
2/10/2019,64.6,62,65.8
2/11/2019,112.2,120.2,119
2/12/2019,115.8,125,133
2/13/2019,108,112.2,118.8
2/14/2019,111.6,115,117.2
2/15/2019,105.2,116.2,113.8
2/16/2019,76.6,81.6,84.6
2/17/2019,55,56.4,55
2/18/2019,89.8,95,101.4
2/19/2019,95.2,102.8,107.2
2/20/2019,93.4,101.4,101.4
2/21/2019,96.4,101.4,106.8
2/22/2019,89.8,98.2,101
2/23/2019,76.2,77.8,78.4
2/24/2019,54.8,61.2,57
2/25/2019,97.8,99.4,98.4
2/26/2019,103.4,110,102.4
2/27/2019,100,102,109
2/28/2019,101.8,104.4,111.6
3/1/2019,96.2,100,104
3/2/2019,76.2,78.2,82.2
3/3/2019,56,59.6,58.6
3/4/2019,106,108.4,116
3/5/2019,110,110.2,112.6
3/6/2019,97.2,100.8,108.6
3/7/2019,106.2,107,107.2
3/8/2019,101.6,99.8,103
3/9/2019,75.6,78.6,81
3/10/2019,54.2,52,53.2
3/11/2019,99.4,108.4,113.6
3/12/2019,108,107.4,100.8
3/13/2019,111.8,116,124
3/14/2019,116.6,122.8,124.8
3/15/2019,112,113.8,119
3/16/2019,85.8,86.6,89.4
3/17/2019,53.8,55.8,58.2
3/18/2019,114.6,123.4,133.8
3/19/2019,116,120.2,124
3/20/2019,111,118.8,126.2
3/21/2019,113.2,119,121.8
3/22/2019,111.4,115.8,123.8
3/23/2019,89,87,95.6
3/24/2019,50.6,49.6,54.2
3/25/2019,112.4,118.2,125.8
3/26/2019,115.8,121.6,128.2
3/27/2019,108.6,111.6,116.2
3/28/2019,111,116,123.8
3/29/2019,103.8,112.2,112.8
3/30/2019,86,106.2,106.4
3/31/2019,53,50,51.4
4/1/2019,112.4,121.4,129.4
4/2/2019,117,122.8,137
4/3/2019,123.2,127.8,132.4
4/4/2019,109.6,115.6,140.8
4/5/2019,116,119.2,125.2
4/6/2019,92.4,92.4,94
4/7/2019,54.2,56.4,55.4
4/8/2019,123.6,127.8,137.8
4/9/2019,120.2,126.2,127.2
4/10/2019,122,124.6,131
4/11/2019,125,129,132
4/12/2019,117.8,124.8,127.8
4/13/2019,99.6,96.4,100.2
4/14/2019,61.8,57.2,53.6
4/15/2019,110.6,109.6,108.4
4/16/2019,106,110.6,120
4/17/2019,102.6,104.4,106.8
4/18/2019,101,106.8,103
4/19/2019,87.2,92.6,89.6
4/20/2019,91.8,89.4,88.4
4/21/2019,50.4,49.2,48.2
4/22/2019,100.4,101.8,103.4
4/23/2019,114.6,120.4,125.6
4/24/2019,97,98.6,100
4/25/2019,91,93.8,98.2
4/26/2019,87.8,90.8,92.4
4/27/2019,77.8,78.2,80.8
4/28/2019,52.6,51.8,51.8
4/29/2019,101,109,111.2
4/30/2019,107.4,108,108.4
5/1/2019,102.4,103.2,105.8
5/2/2019,102.2,101.4,103
5/3/2019,98.8,102.2,106.4
5/4/2019,78.6,78.8,78.8
5/5/2019,55,56,53.6
5/6/2019,80.8,79.6,78.4
5/7/2019,101.8,106,106.4
5/8/2019,102.2,106.8,115.2
5/9/2019,100.4,104.4,108.6
5/10/2019,89,97.2,96.2
5/11/2019,82.6,81.2,82
5/12/2019,54.8,53,52.8
5/13/2019,96.8,96.4,100.8
5/14/2019,105.4,105.6,107.6
5/15/2019,85.2,73,76.2
